Price,Close,High,Low,Open,Volume
Ticker,BAP,BAP,BAP,BAP,BAP
Date,,,,,
1995-10-23,5.602360725402832,6.477729471033446,5.602360725402831,6.477729471033446,70099
1995-10-30,5.952507972717285,5.996276437433702,5.602360793105174,5.602360793105174,130047
1995-11-06,5.514824390411377,6.040045479054748,5.514824390411377,6.040045479054748,405773
1995-11-13,5.6898980140686035,5.6898980140686035,5.164676410561081,5.427287212314842,271213
1995-11-20,5.864969730377197,6.040043550051579,5.689896448821913,5.7774333586591045,315207
1995-11-27,5.602360725402832,5.821203046340289,5.55859226121534,5.821203046340289,207560
1995-12-04,5.558593273162842,5.689898689629598,5.514824801007255,5.602361745318427,340347
1995-12-11,5.996275901794434,6.040044362601072,5.55859183184722,5.55859183184722,378377
1995-12-18,6.083813667297363,6.127582134175153,5.821203404149867,5.952508266663993,358234
1995-12-25,6.040044784545898,6.215118640002744,5.952507856817476,6.0838132484101095,78802
1996-01-01,6.433960437774658,6.652802201236775,6.127581215560866,6.127581215560866,155832
1996-01-08,6.215118408203125,6.521497643825855,6.171349945971306,6.521497643825855,173880
1996-01-15,6.565267562866211,6.871646328354067,6.258888259259049,6.258888259259049,425111
1996-01-22,6.433960437774658,6.652802201236775,6.390191977458403,6.652802201236775,350338
1996-01-29,6.871644496917725,6.871644496917724,6.346423511692795,6.433960432250144,790274
1996-02-05,7.221793174743652,7.309330107368845,6.82787697793029,6.82787697793029,382890
1996-02-12,7.265562534332275,7.703246713150767,7.178025590944716,7.221794062638495,404323
1996-02-19,7.002950191497803,7.353097889414409,6.959181729258227,7.353097889414409,166628
1996-02-26,6.609034061431885,7.002949653189035,6.390191767056164,6.959181194313891,314723
1996-03-04,6.477729320526123,6.740339561430221,6.390192394185025,6.740339561430221,439613
1996-03-11,6.65280294418335,6.74033987459148,6.477729621486312,6.477729621486312,210944
1996-03-18,6.258886337280273,6.696570384195756,6.258886337280273,6.696570384195756,190477
1996-03-25,6.302656173706055,6.433961577923172,5.908739961054704,6.171350769488938,366776
1996-04-01,6.549361228942871,6.730033354760844,6.459025166033885,6.549361228942871,163728
1996-04-08,6.7300333976745605,6.7300333976745605,6.188017016764501,6.459025207219531,316174
1996-04-15,6.84634256362915,6.899414569031875,6.504194754520272,6.730034965856373,408688
1996-04-22,7.21784782409668,7.801644200449356,6.95248563290857,6.95248563290857,555450
1996-04-29,7.58935546875,7.801645136094941,7.217848689727985,7.217848689727985,966345
1996-05-06,7.695498943328857,7.748572046865006,7.270920223630546,7.536281854026186,520064
1996-05-13,7.695498943328857,7.748572046865006,7.589354402235891,7.695498943328857,299120
1996-05-20,7.801646709442139,7.960863853228313,7.695501576700266,7.801646709442139,472338
1996-05-27,7.854717254638672,7.854717254638672,7.748573252358667,7.801645253498669,119455
1996-06-03,8.12007999420166,8.438514220670555,7.907790324780222,7.907790324780222,471789
1996-06-10,8.332369804382324,8.332369804382324,8.067008111932118,8.067008111932118,349727
1996-06-17,8.49158763885498,8.49158763885498,8.33237049904573,8.33237049904573,574924
1996-06-24,8.438515663146973,8.544660793665361,8.3854436532144,8.491587673079545,535289
1996-07-01,8.597729682922363,8.597729682922363,8.438512600261642,8.491584590930936,282525
