Price,Close,High,Low,Open,Volume
Ticker,BAP,BAP,BAP,BAP,BAP
Date,,,,,
1995-10-25,6.30265474319458,6.477728575747619,6.302654743194581,6.477728575747619,2578
1995-10-26,6.127583026885986,6.3026569199031846,5.952509133868788,6.3026569199031846,14020
1995-10-27,5.602359771728516,6.0400438009784665,5.602359771728516,6.0400438009784665,53501
1995-10-30,5.733666896820068,5.733666896820068,5.602361486421217,5.602361486421217,41899
1995-10-31,5.7774338722229,5.7774338722229,5.7774338722229,5.7774338722229,1289
1995-11-01,5.7774338722229,5.7774338722229,5.7774338722229,5.7774338722229,0
1995-11-02,5.821203708648682,5.821203708648682,5.821203708648682,5.821203708648682,967
1995-11-03,5.95250940322876,5.996277878463648,5.864972452758982,5.864972452758982,85892
1995-11-06,6.040045738220215,6.040045738220214,6.040045738220214,6.040045738220214,63009
1995-11-07,5.95250940322876,5.952509403228759,5.952509403228759,5.952509403228759,27718
1995-11-08,5.908740043640137,5.952508512324253,5.86497157495602,5.952508512324253,109098
1995-11-09,5.5148234367370605,5.821202666033335,5.51482343673706,5.821202666033335,137943
1995-11-10,5.5148234367370605,5.5585918980650995,5.51482343673706,5.5585918980650995,68005
1995-11-13,5.339750289916992,5.427287224023766,5.339750289916992,5.427287224023766,38676
1995-11-14,5.164677143096924,5.3397510357645,5.164677143096923,5.3397510357645,22077
1995-11-15,5.164677143096924,5.208445616263818,5.164677143096923,5.208445616263818,151480
1995-11-16,5.295981407165527,5.3397498707833915,5.2084444799298,5.2084444799298,50278
1995-11-17,5.689897060394287,5.689897060394287,5.3835178430332835,5.3835178430332835,8702
1995-11-20,5.908740043640137,5.908740043640137,5.689898238338821,5.777435175707054,84925
1995-11-21,5.99627685546875,6.0400453232365185,5.99627685546875,5.99627685546875,158732
1995-11-22,5.95250940322876,5.952509403228759,5.952509403228759,5.952509403228759,3384
1995-11-24,5.86497163772583,5.908740106878379,5.86497163772583,5.908740106878379,68166
1995-11-27,5.733666896820068,5.821203837085969,5.733666896820068,5.821203837085969,61881
1995-11-28,5.689897060394287,5.777433979640288,5.646128600771286,5.777433979640288,29168
1995-11-29,5.646129608154297,5.646129608154297,5.646129608154297,5.646129608154297,4029
1995-11-30,5.602359771728516,5.646128228465423,5.558591314991609,5.558591314991609,66232
1995-12-01,5.602359771728516,5.602359771728516,5.558591314991609,5.602359771728516,46250
1995-12-04,5.558591842651367,5.602360303543078,5.558591842651368,5.602360303543078,67683
1995-12-05,5.5148234367370605,5.689897282049217,5.51482343673706,5.689897282049217,43188
1995-12-06,5.5148234367370605,5.5585918980650995,5.51482343673706,5.51482343673706,149385
1995-12-07,5.5148234367370605,5.5585918980650995,5.51482343673706,5.5585918980650995,68811
1995-12-08,5.558591842651367,5.558591842651368,5.558591842651368,5.558591842651368,11280
1995-12-11,5.646129608154297,5.646129608154297,5.558592673289947,5.558592673289947,69616
1995-12-12,5.7774338722229,5.821202331032132,5.733665413413668,5.733665413413668,63493
1995-12-13,6.040045738220215,6.040045738220214,5.821203922465015,5.821203922465015,96367
1995-12-14,5.99627685546875,6.0400453232365185,5.99627685546875,6.0400453232365185,91210
